date,year,month,day_of_year,system:time_start,system_index,scene_cloud_percent,GCC,NDVI,NDVI_RAW_ORIGINAL,NDVI_WINDOW_DAYS,NDTI,NDPI,FAI,NDCI,KINNERET_2B,KINNERET_3B
2019-05-01,2019,5,121,1.556699463E12,20190501T081611_20190501T081607_T36SYB,21.503246,0.4116374413734651,-0.201116038262915,0.09111490113497053,31,0.15190266206965047,0.26709765302864297,0.004523902907137076,0.16938078219320218,1.4339332104105618,0.3391394346436494
2019-05-11,2019,5,131,1.557563463E12,20190511T081611_20190511T082555_T36SYB,8.595087,0.3926495832608389,-0.19682774396367,-0.5680221916036514,41,-0.00455181869221572,-0.736535468937156,-0.016909971400104973,0.10296931530635152,1.2358980930220114,0.06494328701909442
2019-05-16,2019,5,136,1.557995468E12,20190516T081609_20190516T082859_T36SYB,8.402434,0.3795199917720561,-0.191717367364917,-0.16275926844494085,46,0.020654793216648294,-0.14628448013718548,-0.008572233015754405,0.1266450770929603,1.3004562078076578,0.16327162812963697
2019-05-21,2019,5,141,1.558427462E12,20190521T081611_20190521T082941_T36SYB,13.533688,0.41564469416277927,-0.175194224625025,-0.08047363220360328,51,0.06985326618550143,-0.008765729355553857,-0.00527185157262357,0.1629137656486193,1.426005644435665,0.25419223550390085
2019-05-26,2019,5,146,1.558859468014E12,20190526T081609_20190526T082331_T36SYB,3.976715,0.40775425601523835,-0.170361935218926,-0.254700681734391,56,-0.012805319127510295,-0.7060529708010408,-0.009679228818434405,0.1837383918928276,1.6737514599772116,0.34836321624612443
2019-05-31,2019,5,151,1.55929146204E12,20190531T081611_20190531T081627_T36SYB,1.757144,0.3817392963226004,-0.166621650417756,0.0047017355164532225,61,0.06115356388768818,0.018677029659911526,7.068832712112162E-4,0.12780337319421664,1.3049682922687782,0.23161469813754457
2019-06-10,2019,6,161,1.560155462099E12,20190610T081611_20190610T081757_T36SYB,0.046002,0.3663797232979026,-0.179973645408774,-0.3375451138516613,61,0.07921384126473495,-0.44107013856585997,-0.015801927557310993,0.07749997198955727,1.1766945910531708,0.07338300350691186
2019-06-15,2019,6,166,1.560587466E12,20190615T081609_20190615T082515_T36SYB,12.785927,0.34536961974785463,-0.188776553591046,-0.024657056190803963,61,-0.04357680462478049,-0.49639487217298495,0.00579120273011129,0.0502572400912779,1.1061370564917878,0.09733785331083158
2019-06-20,2019,6,171,1.561019463E12,20190620T081611_20190620T082150_T36SYB,16.285901,0.35274651681250435,-0.212473845706035,-0.022197481569493624,61,-0.040735125586073964,-0.38658562621201575,0.004279333089175095,0.06484920304640047,1.139879384520013,0.1231390633659101
2019-06-25,2019,6,176,1.561451467869E12,20190625T081609_20190625T083055_T36SYB,0.386722,0.36730787586686453,-0.251450878561399,-0.1869893177481946,61,-0.004668215596823064,-0.3171623314279596,-0.008429114574530229,0.12361685760382124,1.2886466809916248,0.1624141847999667
